"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p50"
24510130600,"Hampden, Baltimore, MD",0.3256
24510271700,"Central Park Heights, Baltimore, MD",0.3255
24510130200,"Reservoir Hill, Baltimore, MD",0.3254
24003750203,"Baltimore, MD",0.3252
24510200600,"Baltimore, MD",0.3207
24510260203,"Frankford, Baltimore, MD",0.3202
24510270903,"Hillen, Baltimore, MD",0.3196
24510150900,"Windsor Hills, Baltimore, MD",0.3183
24510080101,"Belair - Edison, Baltimore, MD",0.3176
24510110200,"Downtown, Baltimore, MD",0.3166
24005491401,"Parkville, MD",0.3165
24510260102,"Frankford, Baltimore, MD",0.3151
24510070100,"Baltimore, MD",0.3119
24510151100,"East Arlington, Baltimore, MD",0.3114
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3096
24005421000,"Dundalk, MD",0.3093
24005450504,"Essex, MD",0.3088
24510260101,"Cedmont, Baltimore, MD",0.3082
24510250102,"Yale Heights, Baltimore, MD",0.3079
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.3071
24510280102,"Gwynn Oak, Baltimore, MD",0.3062
24510120201,"Baltimore, MD",0.3061
24510280101,"Reisterstown Station, Baltimore, MD",0.3045
24005450400,"Essex, MD",0.3035
24005402602,"Randallstown, MD",0.3031
24005451401,"Middle River, MD",0.3014
24005402503,"Randallstown, MD",0.2999
24510271900,"Glen, Baltimore, MD",0.2995
24005451402,"Middle River, MD",0.2991
24005450503,"Essex, MD",0.2968
24510260800,"Baltimore Highlands, Baltimore, MD",0.2961
24510170100,"Downtown, Baltimore, MD",0.2958
24510250500,"Curtis Bay, Baltimore, MD",0.2956
24510110100,"Downtown, Baltimore, MD",0.2952
24510140100,"Bolton Hill, Baltimore, MD",0.2949
24510160200,"Sandtown-Winchester, Baltimore, MD",0.2946
24005441000,"Baltimore, MD",0.2921
24005451500,"Middle River, MD",0.2916
24510130400,"Woodbrook, Baltimore, MD",0.2908
24005401506,"Windsor Mill, Baltimore, MD",0.2862
24510180300,"Hollins Market, Baltimore, MD",0.2851
24005402306,"Windsor Mill, Baltimore, MD",0.2848
24510270102,"Waltherson, Baltimore, MD",0.2838
24005402406,"Windsor Mill, Milford Mill, MD",0.282
24003750803,"Glen Burnie, MD",0.2819
24510270401,"Glenham-Belford, Baltimore, MD",0.28
24510270801,"Idlewood, Baltimore, MD",0.2785
24005401507,"Windsor Mill, Baltimore, MD",0.2773
24510150701,"Hanlon Longwood, Baltimore, MD",0.2743
24005451300,"Middle River, MD",0.2734
24003750102,"Baltimore, MD",0.2717
24510261000,"Patterson Park, Baltimore, MD",0.2713
24003750101,"Brooklyn Park, MD",0.2705
24510280403,"Westgate, Baltimore, MD",0.2703
24005400900,"Catonsville, MD",0.2681
24005402405,"Gwynn Oak, Baltimore, MD",0.2673
24005492300,"Essex, MD",0.2659
24005402302,"Windsor Mill, Milford Mill, MD",0.2651
24510280401,"Baltimore, MD",0.2647
24510240100,"Locust Point, Baltimore, MD",0.2611
24510130805,"Cold Springs, Baltimore, MD",0.2606
24510230200,"South Baltimore, Baltimore, MD",0.2598
24005401101,"Woodlawn, MD",0.2572
24005420402,"Dundalk, MD",0.2569
24510130700,"Hampden, Baltimore, MD",0.2565
24510040200,"Downtown, Baltimore, MD",0.2563
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2555
24510020100,"Upper Fells Point, Baltimore, MD",0.2551
24005402604,"Randallstown, MD",0.2546
24510260605,"Medford - Broening, Baltimore, MD",0.2534
24510261100,"Canton, Baltimore, MD",0.2523
24005420100,"Dundalk, MD",0.252
24005402407,"Windsor Mill, Milford Mill, MD",0.2506
24005401301,"Woodlawn, MD",0.2505
24510230100,"Baltimore, MD",0.2475
24005452400,"Dundalk, MD",0.247
24510270200,"Lauraville, Baltimore, MD",0.2441
24510270804,"Lake Walker, Baltimore, MD",0.2438
24005402403,"Gwynn Oak, Baltimore, MD",0.2437
24003750202,"Brooklyn Park, MD",0.2429
24510040100,"Downtown, Baltimore, MD",0.2425
24510240400,"Riverside Park, Baltimore, MD",0.2414
24510280302,"West Forest Park, Baltimore, MD",0.2411
24510270101,"Arcadia, Baltimore, MD",0.2404
24510260401,"Armistead Gardens, Baltimore, MD",0.2403
24510272006,"Glen, Baltimore, MD",0.2393
24003750201,"Brooklyn, Baltimore, MD",0.2392
24510250401,"Brooklyn, Baltimore, MD",0.2368
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2333
24510270402,"Glenham-Belford, Baltimore, MD",0.233
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2329
24005401505,"Catonsville, MD",0.232
24005450800,"Essex, MD",0.232
24005420401,"Dundalk, MD",0.2305
24005402305,"Lochearn, Pikesville, MD",0.2285
24510010400,"Canton, Baltimore, MD",0.2275
24005402506,"Randallstown, MD",0.2275
24510010100,"Canton, Baltimore, MD",0.2274
24510260404,"Baltimore Highlands, Baltimore, MD",0.2262
24003751102,"Glen Burnie, MD",0.2261
24510130806,"Woodberry, Baltimore, MD",0.2257
24005402504,"Randallstown, MD",0.2256
24510010300,"Canton, Baltimore, MD",0.2254
24005400702,"Baltimore, MD",0.2246
24003750300,"Linthicum Heights, MD",0.2228
24005440701,"Rosedale, MD",0.2222
24005452500,"Dundalk, MD",0.2198
24005400800,"Catonsville, MD",0.2193
24005450501,"Essex, MD",0.2192
24510020200,"Upper Fells Point, Baltimore, MD",0.2181
24005420600,"Baltimore, MD",0.2177
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2175
24005450200,"Essex, MD",0.2157
24510270301,"Lauraville, Baltimore, MD",0.2151
24510240200,"Riverside, Baltimore, MD",0.2145
24510250206,"Morrell Park, Baltimore, MD",0.2115
24005430900,"Baltimore, MD",0.2094
24005403100,"Gwynn Oak, Pikesville, MD",0.209
24005441102,"Rosedale, MD",0.2087
24005420301,"Dundalk, MD",0.2084
24510240300,"Riverside, Baltimore, MD",0.2075
24005451100,"Essex, MD",0.2072
24005401302,"Gwynn Oak, Baltimore, MD",0.207
24005430400,"Halethorpe, MD",0.2046
24510010500,"Upper Fells Point, Baltimore, MD",0.2045
24005451900,"Edgemere, MD",0.203
24005451200,"Middle River, MD",0.2025
24005452000,"Sparrows Point, MD",0.2018
24005450100,"Rosedale, MD",0.2017
24005440400,"Baltimore, MD",0.2012
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2006
24510220100,"Baltimore, MD",0.198
24510272003,"Baltimore, MD",0.197
24510270302,"Waltherson, Baltimore, MD",0.197
24005420900,"Dundalk, MD",0.1968
24005452300,"Baltimore, MD",0.1951
24005401200,"Woodlawn, MD",0.1949
24005421101,"Baltimore, MD",0.1932
24005420701,"Dundalk, MD",0.1921
24510010200,"Patterson Park, Baltimore, MD",0.1895
24005440600,"Rosedale, MD",0.1865
24510272007,"Fallstaff, Baltimore, MD",0.1859
24005492102,"Parkville, MD",0.1859
24005440702,"Rosedale, MD",0.1851
24005420800,"Dundalk, MD",0.185
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1824
24005420302,"Dundalk, MD",0.1816
24003750801,"Glen Burnie, MD",0.1812
24005451000,"Essex, MD",0.1811
24005403402,"Pikesville, MD",0.1797
24005451600,"Middle River, MD",0.178
24005403201,"Gwynn Oak, Lochearn, MD",0.1778
24005452100,"Sparrows Point, MD",0.1764
24005401400,"Catonsville, MD",0.1739
24027606706,"Kendall Ridge, Columbia, MD",0.1728
24005411302,"White Marsh, MD",0.1722
24005440500,"Nottingham, MD",0.1708
24005420702,"Dundalk, MD",0.1695
24510250103,"Violetville, Baltimore, MD",0.1689
24005440800,"Rosedale, MD",0.1682
