"tract","Name","Teenage_Birth_Rate_women_only_rW_gF_p25"
34017000800,"The Heights, Jersey City, NJ",0.1799
36081001400,"Queens County, NY",0.1778
34017006300,"Greenville, Jersey City, NJ",0.1778
36085023100,"Richmond County, NY",0.1768
34023003500,"Carteret, NJ",0.1765
36059407900,"East Meadow, NY",0.1763
36085010500,"Richmond County, NY",0.1762
34003046200,"Ridgefield Park, NJ",0.1756
36059413002,"Oceanside, NY",0.1756
36085004700,"Richmond County, NY",0.1755
36061013900,"Hell's Kitchen, New York, NY",0.1751
34035051700,"North Plainfield, NJ",0.1749
36081143500,"Queens County, NY",0.1748
34017015802,"West New York, NJ",0.1747
34039031903,"Elizabeth, NJ",0.1745
36081146700,"Queens County, NY",0.174
36081084000,"Queens County, NY",0.1739
34039030600,"Elizabeth, NJ",0.1738
36005022403,"Bronx County, NY",0.1737
36059303900,"Westbury, NY",0.1736
34017010600,"Constable Hook, Bayonne, NJ",0.1735
36061026300,"Upper Manhattan, New York, NY",0.1735
36081006900,"Queens County, NY",0.1733
36061013300,"Hell's Kitchen, New York, NY",0.1732
34039037601,"Springfield Township, NJ",0.1731
36085002900,"Richmond County, NY",0.173
34027041200,"Mountain Lakes, NJ",0.1719
36047021400,"Kings County, NY",0.1716
36081047500,"Queens County, NY",0.1709
36047005400,"Kings County, NY",0.1708
36081003800,"Queens County, NY",0.1707
36005026702,"Bronx County, NY",0.1707
34017011600,"Constable Hook, Bayonne, NJ",0.1702
36047048600,"Kings County, NY",0.1692
34023002902,"Woodbridge, Woodbridge Township, NJ",0.169
36081055800,"Queens County, NY",0.1679
34017010500,"Bayonne, NJ",0.1676
34039035200,"Linden, NJ",0.167
36081085300,"Queens County, NY",0.1665
36059304202,"Westbury, NY",0.1657
34031124800,"Clifton, NJ",0.1643
34017014700,"North Bergen, NJ",0.1642
34023009100,"Port Reading, Woodbridge Township, NJ",0.1641
36081011400,"Queens County, NY",0.164
36081009400,"Queens County, NY",0.163
34017001100,"The Heights, Jersey City, NJ",0.1627
36047013500,"Kings County, NY",0.1622
36005041500,"Bronx County, NY",0.1603
34039031700,"Elizabeth, NJ",0.16
36047014900,"Kings County, NY",0.1597
36061027900,"Fort George, New York, NY",0.1593
34017010800,"Constable Hook, Bayonne, NJ",0.1591
36047064400,"Kings County, NY",0.1587
34023002200,"Metuchen, NJ",0.1584
36081016100,"Queens County, NY",0.1583
36059304100,"Westbury, NY",0.1581
36061008900,"Midtown, New York, NY",0.158
36047073800,"Kings County, NY",0.1579
36085004000,"Richmond County, NY",0.1579
36061024500,"Upper Manhattan, New York, NY",0.1577
36047041401,"Kings County, NY",0.1568
36047019600,"Kings County, NY",0.1568
36085016901,"Richmond County, NY",0.1553
34031124321,"Clifton, NJ",0.1551
34023001506,"Edison, NJ",0.1547
36061018900,"Upper West Side, New York, NY",0.1545
34023003102,"Woodbridge Township, NJ",0.1545
36005007800,"Bronx County, NY",0.1544
34027040804,"Montville, NJ",0.1543
36081054900,"Queens County, NY",0.1543
34039036100,"Winfield, NJ",0.154
34023003300,"Perth Amboy, NJ",0.1529
36081041300,"Queens County, NY",0.1523
34003021400,"Garfield, NJ",0.1521
36081077300,"Queens County, NY",0.1518
36119005800,"New Rochelle, NY",0.1517
34003033200,"Maywood, NJ",0.1513
36047007400,"Kings County, NY",0.1513
36081055200,"Queens County, NY",0.1512
36047019000,"Kings County, NY",0.1504
34039034700,"Linden, NJ",0.1501
34017000200,"The Heights, Jersey City, NJ",0.1497
36081018501,"Queens County, NY",0.1495
36005041900,"Bronx County, NY",0.1493
34003036100,"South Hackensack, NJ",0.1491
34023001903,"Edison, NJ",0.149
34039032400,"Hillside, NJ",0.1489
34023001804,"Edison, NJ",0.1487
36059414201,"Freeport, NY",0.1486
34039035700,"Rahway, NJ",0.1483
36047032900,"Kings County, NY",0.1476
34013014500,"Belleville, NJ",0.1474
34013012100,"Irvington, NJ",0.1468
34003054100,"Teaneck, NJ",0.1467
36047031900,"Kings County, NY",0.1465
36059407402,"Uniondale, NY",0.1464
34017007000,"Downtown Jersey City, Jersey City, NJ",0.1463
36061014000,"Upper East Side, New York, NY",0.1459
34027041100,"Boonton, NJ",0.1458
34017016500,"Union City, NJ",0.1458
36061009800,"Midtown, New York, NY",0.1457
36061013500,"Hell's Kitchen, New York, NY",0.1455
34013018000,"West Orange, NJ",0.1455
36085022300,"Richmond County, NY",0.1454
34039035600,"Rahway, NJ",0.1452
34023003401,"Sewaren, Woodbridge Township, NJ",0.1448
34031125100,"Botany Village, Clifton, NJ",0.1448
36061001200,"Lower Manhattan, New York, NY",0.1445
36047016400,"Kings County, NY",0.1442
34003023502,"Hackensack, NJ",0.1442
34013017600,"West Orange, NJ",0.1438
36047051300,"Kings County, NY",0.1437
36081062700,"Queens County, NY",0.1434
36081049700,"Queens County, NY",0.1433
34017000400,"The Heights, Jersey City, NJ",0.1431
34023002805,"Woodbridge, Woodbridge Township, NJ",0.1431
36059404700,"New Hyde Park, NY",0.1429
34017010900,"Constable Hook, Bayonne, NJ",0.1423
36047061600,"Kings County, NY",0.1421
36005043100,"Bronx County, NY",0.1417
36005026602,"Bronx County, NY",0.1413
34031125000,"Clifton, NJ",0.1412
36081010400,"Queens County, NY",0.1412
36059404902,"Elmont, NY",0.1399
34031175401,"Passaic, NJ",0.1398
36081118900,"Queens County, NY",0.1396
36059407201,"Hempstead, NY",0.1394
36047010600,"Kings County, NY",0.139
36081094203,"Queens County, NY",0.139
36005025000,"Bronx County, NY",0.1389
36081025301,"Queens County, NY",0.1384
34013015400,"Bloomfield, NJ",0.1382
36047012200,"Kings County, NY",0.138
36047033000,"Kings County, NY",0.1379
34027041801,"Parsippany, Parsippany-Troy Hills, NJ",0.1378
36081092500,"Queens County, NY",0.137
36081028700,"Queens County, NY",0.1369
36085001700,"Richmond County, NY",0.1365
36081060300,"Queens County, NY",0.1364
34013017800,"West Orange, NJ",0.1363
36081011200,"Queens County, NY",0.1354
36085011201,"Richmond County, NY",0.1352
34031124322,"Clifton, NJ",0.1352
34017014501,"North Bergen, NJ",0.1349
34003019203,"Fort Lee, NJ",0.1347
34017014400,"North Bergen, NJ",0.1345
36081045500,"Queens County, NY",0.1339
36005042500,"Bronx County, NY",0.1338
36059414202,"Freeport, NY",0.1334
34017014502,"North Bergen, NJ",0.1333
34013007000,"Ironbound District, Newark, NJ",0.1332
36059414502,"Freeport, NY",0.1329
36059301900,"Manhasset, NY",0.1329
34039033600,"Kenilworth, NJ",0.1326
36047096600,"Kings County, NY",0.1323
36047017400,"Kings County, NY",0.1322
36047051800,"Kings County, NY",0.1321
34039038400,"Scotch Plains, NJ",0.1317
34039030702,"Elizabeth, NJ",0.1313
36005035100,"Bronx County, NY",0.1311
36047096200,"Kings County, NY",0.1308
36047010100,"Kings County, NY",0.1303
36059409800,"Elmont, NY",0.1303
34039035400,"Linden, NJ",0.1302
36061013400,"Lenox Hill, New York, NY",0.1302
36047040000,"Kings County, NY",0.1299
34023000501,"Piscataway Township, NJ",0.1299
36081072300,"Queens County, NY",0.1297
36085031902,"Richmond County, NY",0.1292
36081065702,"Queens County, NY",0.1288
36047004500,"Kings County, NY",0.1284
36005031600,"Bronx County, NY",0.1279
36081122701,"Queens County, NY",0.1276
34039036600,"Westfield, NJ",0.1273
36081025302,"Queens County, NY",0.1263
36081000200,"Queens County, NY",0.1262
36081004002,"Queens County, NY",0.1261
34039032002,"Elizabeth, NJ",0.1261
36061016700,"Upper West Side, New York, NY",0.1261
34003023602,"Hackensack, NJ",0.1258
34023001902,"Edison, NJ",0.1257
34023000606,"Piscataway Township, NJ",0.1254
34003015400,"Englewood, NJ",0.1254
36081000600,"Queens County, NY",0.1248
36061009700,"Midtown, New York, NY",0.1247
36047019200,"Kings County, NY",0.1245
36081064500,"Queens County, NY",0.1244
36081145102,"Queens County, NY",0.1242
36047020800,"Kings County, NY",0.1235
34039035800,"Rahway, NJ",0.1233
36081027100,"Queens County, NY",0.1227
36061001001,"Lower Manhattan, New York, NY",0.1226
34027040805,"Towaco, Montville, NJ",0.122
34023001803,"Edison, NJ",0.1217
36061031703,"Lower Manhattan, New York, NY",0.1215
36005041100,"Bronx County, NY",0.1212
36047067800,"Kings County, NY",0.1212
36081057900,"Queens County, NY",0.1211
34023001901,"Edison, NJ",0.1208
34003046100,"Ridgefield Park, NJ",0.1207
36047103400,"Kings County, NY",0.1198
34013017700,"West Orange, NJ",0.1198
34013007200,"Ironbound District, Newark, NJ",0.1196
36081042700,"Queens County, NY",0.1195
34039036000,"Rahway, NJ",0.1194
34031183101,"Paterson, NJ",0.1189
34039035500,"Rahway, NJ",0.1188
36005038700,"Bronx County, NY",0.1188
34003023402,"Hackensack, NJ",0.1183
34023000901,"South Plainfield, NJ",0.1183
34039034900,"Linden, NJ",0.1182
36081028100,"Queens County, NY",0.1182
36081010800,"Queens County, NY",0.1181
34031154001,"Little Falls, NJ",0.1179
36005020400,"Bronx County, NY",0.1178
34003046300,"Ridgefield Park, NJ",0.1175
36047010800,"Kings County, NY",0.1172
36061027100,"Fort George, New York, NY",0.1164
36081103202,"Queens County, NY",0.1163
34017005600,"Greenville, Jersey City, NJ",0.1163
34031124200,"Clifton, NJ",0.1154
36081093800,"Queens County, NY",0.1153
36005045101,"Bronx County, NY",0.1152
34023003203,"Woodbridge Township, NJ",0.1149
36081055100,"Queens County, NY",0.1147
34039032800,"Union County, NJ",0.1143
36047051900,"Kings County, NY",0.1137
36081006502,"Queens County, NY",0.1134
36081058300,"Queens County, NY",0.1132
36047038200,"Kings County, NY",0.1131
36085007400,"Richmond County, NY",0.1131
34017013700,"East Newark, NJ",0.113
36005039100,"Bronx County, NY",0.1128
36059517200,"Glen Cove, NY",0.1128
36047101000,"Kings County, NY",0.1125
34023004400,"Perth Amboy, NJ",0.1125
34013021802,"West Caldwell, NJ",0.1124
36085013400,"Richmond County, NY",0.1124
34017013200,"Kearny, NJ",0.1123
34023002101,"Metuchen, NJ",0.1123
36059410300,"Valley Stream, NY",0.1122
36047000900,"Kings County, NY",0.1116
36081094201,"Queens County, NY",0.1113
34003021200,"Garfield, NJ",0.1112
36047099000,"Kings County, NY",0.1105
34023001702,"Edison, NJ",0.1103
36081162100,"Queens County, NY",0.1101
34023002500,"Iselin, Woodbridge Township, NJ",0.1096
34013014600,"Belleville, NJ",0.1092
34003023301,"Hackensack, NJ",0.1092
34023000902,"South Plainfield, NJ",0.1091
36047095600,"Kings County, NY",0.109
34003004002,"Bogota, NJ",0.109
36005032800,"Bronx County, NY",0.1089
34013015100,"Bloomfield, NJ",0.1089
36081055400,"Queens County, NY",0.1088
36081002200,"Queens County, NY",0.1088
34017013300,"Kearny, NJ",0.1084
36047051400,"Kings County, NY",0.1084
36081027700,"Queens County, NY",0.1084
36047025400,"Kings County, NY",0.1079
36081012601,"Queens County, NY",0.1079
34023002604,"Iselin, Woodbridge Township, NJ",0.1078
34003021500,"Garfield, NJ",0.1078
36081157101,"Bellerose Manor, Bellerose, NY",0.1077
36005018400,"Bronx County, NY",0.1072
36047011200,"Kings County, NY",0.107
34023003001,"Woodbridge, Woodbridge Township, NJ",0.107
36061000202,"Lower Manhattan, New York, NY",0.1067
34039030400,"Elizabeth, NJ",0.1066
36059413100,"Oceanside, NY",0.1062
34031124700,"Clifton, NJ",0.1061
34003004001,"Bogota, NJ",0.1056
36061021100,"Upper Manhattan, New York, NY",0.1056
36047059000,"Kings County, NY",0.1055
34013000700,"Lower Roseville, Newark, NJ",0.1053
36047067400,"Kings County, NY",0.1053
36047003400,"Kings County, NY",0.1052
36085000700,"Richmond County, NY",0.1048
36047022400,"Kings County, NY",0.1047
36061015900,"Lincoln Square, New York, NY",0.1044
34023000502,"Piscataway Township, NJ",0.1042
34039031300,"Elizabeth, NJ",0.1041
36047021200,"Kings County, NY",0.1041
34017002800,"McGinley Square, Jersey City, NJ",0.1037
36047054700,"Kings County, NY",0.1036
36081059500,"Queens County, NY",0.1036
36059300800,"Great Neck, NY",0.1035
34039031602,"Elizabeth, NJ",0.1035
36047010400,"Kings County, NY",0.1033
34017017000,"Union City, NJ",0.1033
36059414303,"Freeport, NY",0.1032
36081051100,"Queens County, NY",0.1021
36085011401,"Richmond County, NY",0.1017
36047038600,"Kings County, NY",0.1017
36047064600,"Kings County, NY",0.1013
34017005900,"Greenville, Jersey City, NJ",0.1013
34013019200,"South Orange, NJ",0.1011
36081003200,"Queens County, NY",0.1007
36047011600,"Kings County, NY",0.1004
36081029500,"Queens County, NY",0.1003
36061006500,"Lower Manhattan, New York, NY",0.1001
36047059300,"Kings County, NY",0.1
34017012700,"Kearny, NJ",0.0999
36059412100,"East Rockaway, NY",0.0998
36047041600,"Kings County, NY",0.0997
36081083800,"Queens County, NY",0.0996
36061008100,"Midtown, New York, NY",0.0995
36047013700,"Kings County, NY",0.099
34031223802,"Totowa, NJ",0.099
36081086100,"Queens County, NY",0.0988
36047014500,"Kings County, NY",0.0986
36081022002,"Queens County, NY",0.0984
34013020200,"Essex County, NJ",0.0983
34039030900,"Elizabeth, NJ",0.0983
36081057700,"Queens County, NY",0.0982
34003050000,"Rochelle Park, NJ",0.0982
36047022800,"Kings County, NY",0.0981
36081028300,"Queens County, NY",0.0981
34017000100,"The Heights, Jersey City, NJ",0.0981
36005027300,"Bronx County, NY",0.098
36081066300,"Queens County, NY",0.0979
34003012001,"East Rutherford, NJ",0.0978
34003054600,"Teaneck, NJ",0.0975
36081052500,"Queens County, NY",0.0975
36005031000,"Bronx County, NY",0.0972
34003038300,"North Arlington, NJ",0.0972
34027044000,"Chatham Township, NJ",0.0972
34003031200,"Lyndhurst, NJ",0.0968
36085027900,"Richmond County, NY",0.0967
36081093900,"Queens County, NY",0.0966
34023001600,"Edison, NJ",0.0966
36047013000,"Kings County, NY",0.0965
36081053900,"Queens County, NY",0.0965
36047069601,"Kings County, NY",0.0964
34031175602,"Passaic, NJ",0.0959
34031264102,"Woodland Park, NJ",0.0959
34013007900,"Ironbound District, Newark, NJ",0.0959
34003030200,"Lodi, NJ",0.0955
36059406400,"Garden City, NY",0.0953
36081012800,"Queens County, NY",0.095
36085029104,"Richmond County, NY",0.0944
36081066501,"Queens County, NY",0.0942
36059416801,"Long Beach, NY",0.094
36047045800,"Kings County, NY",0.0939
36059416401,"Long Beach, NY",0.0938
34027040102,"Lincoln Park, NJ",0.0938
36085009700,"Richmond County, NY",0.0937
34017011200,"Constable Hook, Bayonne, NJ",0.0936
34039031100,"Elizabeth, NJ",0.093
36047068200,"Kings County, NY",0.0929
36059415402,"Bellmore, NY",0.0928
34023001100,"Highland Park, NJ",0.0925
34023001412,"Edison, NJ",0.0925
36085012500,"Richmond County, NY",0.0925
34003011400,"Elmwood Park, NJ",0.0923
34023002605,"Colonia, Woodbridge Township, NJ",0.0922
36059414304,"Freeport, NY",0.0922
34039036200,"Clark, NJ",0.0922
36061028300,"Fort George, New York, NY",0.0921
34017002000,"Journal Square, Jersey City, NJ",0.0919
