tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
24510150800,Garwyn Oaks, Baltimore, MD,0.4956,All
24510210200,Pigtown, Baltimore, MD,0.4947,All
24510150300,Coppin Heights, Baltimore, MD,0.491,All
24510200702,Saint Joseph's, Baltimore, MD,0.4878,All
24510040200,Downtown, Baltimore, MD,0.4869,All
24510130200,Reservoir Hill, Baltimore, MD,0.4856,All
24510200800,Irvington, Baltimore, MD,0.4802,All
24510271002,Winston - Govans, Baltimore, MD,0.48,All
24510160802,Edmondson, Baltimore, MD,0.4794,All
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.4782,All
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.4752,All
24510200701,Allendale, Baltimore, MD,0.4737,All
24510030200,Little Italy, Baltimore, MD,0.4733,All
24510160801,Edmondson, Baltimore, MD,0.4687,All
24510130400,Woodbrook, Baltimore, MD,0.4686,All
24510260303,Claremont - Freedom, Baltimore, MD,0.4681,All
24510280301,Gwynn Oak, Baltimore, MD,0.4664,All
24510190300,Mount Clare, Baltimore, MD,0.4642,All
24510151200,Park Circle, Baltimore, MD,0.4631,All
24510180200,Poppleton, Baltimore, MD,0.4615,All
24510250600,Brooklyn, Baltimore, MD,0.4612,All
24510150702,Walbrook, Baltimore, MD,0.4597,All
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.4569,All
24510110200,Downtown, Baltimore, MD,0.4538,All
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.4534,All
24510280200,Gwynn Oak, Baltimore, MD,0.4519,All
24510200500,Mill Hill, Baltimore, MD,0.4511,All
24510170100,Downtown, Baltimore, MD,0.4509,All
24510151000,Dorchester, Baltimore, MD,0.4479,All
24510271700,Central Park Heights, Baltimore, MD,0.4455,All
24510180100,Poppleton, Baltimore, MD,0.4445,All
24510270901,New Northwood, Baltimore, MD,0.4402,All
24510150701,Hanlon Longwood, Baltimore, MD,0.4393,All
24510260302,Belair - Edison, Baltimore, MD,0.4344,All
24510260202,Parkside, Baltimore, MD,0.4323,All
24510280404,Irvington, Baltimore, MD,0.431,All
24510210100,Pigtown, Baltimore, MD,0.4264,All
24510180300,Hollins Market, Baltimore, MD,0.4261,All
24510160700,Rosemont, Baltimore, MD,0.4242,All
24510120700,Remington, Baltimore, MD,0.4193,All
24510261000,Patterson Park, Baltimore, MD,0.4159,All
24510250101,Beechfield, Baltimore, MD,0.4142,All
24510260404,Baltimore Highlands, Baltimore, MD,0.412,All
24510190200,Pratt Monroe, Baltimore, MD,0.4118,All
24510271503,Cross Keys, Baltimore, MD,0.4104,All
24510150900,Windsor Hills, Baltimore, MD,0.4094,All
24510250102,Yale Heights, Baltimore, MD,0.4087,All
24510250402,Brooklyn, Baltimore, MD,0.4078,All
24510260301,Belair - Edison, Baltimore, MD,0.4077,All
24510280402,Rognel Heights, Baltimore, MD,0.4055,All
24510260201,Frankford, Baltimore, MD,0.3923,All
24510270802,Ramblewood, Baltimore, MD,0.3905,All
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.3901,All
24510280101,Reisterstown Station, Baltimore, MD,0.3882,All
24510080101,Belair - Edison, Baltimore, MD,0.3829,All
24510270805,Mid-Govans, Baltimore, MD,0.3773,All
24510270803,Loch Raven, Baltimore, MD,0.3689,All
24510250205,Lakeland, Baltimore, MD,0.3626,All
24510260800,Baltimore Highlands, Baltimore, MD,0.3623,All
